fixture	axis	geometric	visible	before	after
plainRect	0	100.000000000,600.000000000,300.000000000,480.000000000	100.000000000,600.000000000,300.000000000,480.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	65.358983849,480.000000000 134.641016151,600.000000000 334.641016151,600.000000000 265.358983849,480.000000000
strokedRect	0	100.000000000,600.000000000,300.000000000,480.000000000	80.000000000,620.000000000,320.000000000,460.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	65.358983849,480.000000000 134.641016151,600.000000000 334.641016151,600.000000000 265.358983849,480.000000000
spike	0	100.000000000,604.000000000,400.000000000,590.000000000	90.000000000,622.005597576,1000.353154490,579.522450366	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	101.732050808,600.000000000 404.041451884,604.000000000 95.958548116,590.000000000
mixedGroup	0	100.000000000,600.000000000,400.000000000,500.000000000	100.000000000,620.000000000,420.000000000,480.000000000	100.000000000,500.000000000 100.000000000,600.000000000 200.000000000,600.000000000 200.000000000,500.000000000 300.000000000,500.000000000 300.000000000,600.000000000 400.000000000,600.000000000 400.000000000,500.000000000	71.132486541,500.000000000 128.867513459,600.000000000 228.867513459,600.000000000 171.132486541,500.000000000 271.132486541,500.000000000 328.867513459,600.000000000 428.867513459,600.000000000 371.132486541,500.000000000
bezier	0	100.000000000,620.000000000,340.000000000,480.000000000	97.503849117,625.702957558,342.496150883,474.297042442	100.000000000,500.000000000 180.000000000,620.000000000 260.000000000,480.000000000 340.000000000,600.000000000	71.132486541,500.000000000 220.414518843,620.000000000 219.585481157,480.000000000 368.867513459,600.000000000
plainRect	90	100.000000000,600.000000000,300.000000000,480.000000000	100.000000000,600.000000000,300.000000000,480.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	100.000000000,537.735026919 100.000000000,657.735026919 300.000000000,542.264973081 300.000000000,422.264973081
strokedRect	90	100.000000000,600.000000000,300.000000000,480.000000000	80.000000000,620.000000000,320.000000000,460.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	100.000000000,537.735026919 100.000000000,657.735026919 300.000000000,542.264973081 300.000000000,422.264973081
spike	90	100.000000000,604.000000000,400.000000000,590.000000000	90.000000000,622.005597576,1000.353154490,579.522450366	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	100.000000000,686.602540378 400.000000000,517.397459622 100.000000000,676.602540378
mixedGroup	90	100.000000000,600.000000000,400.000000000,500.000000000	100.000000000,620.000000000,420.000000000,480.000000000	100.000000000,500.000000000 100.000000000,600.000000000 200.000000000,600.000000000 200.000000000,500.000000000 300.000000000,500.000000000 300.000000000,600.000000000 400.000000000,600.000000000 400.000000000,500.000000000	100.000000000,586.602540378 100.000000000,686.602540378 200.000000000,628.867513459 200.000000000,528.867513459 300.000000000,471.132486541 300.000000000,571.132486541 400.000000000,513.397459622 400.000000000,413.397459622
bezier	90	100.000000000,620.000000000,340.000000000,480.000000000	97.503849117,625.702957558,342.496150883,474.297042442	100.000000000,500.000000000 180.000000000,620.000000000 260.000000000,480.000000000 340.000000000,600.000000000	100.000000000,569.282032303 180.000000000,643.094010768 260.000000000,456.905989232 340.000000000,530.717967697
