probe	group	case	expected	observed	status
appearance	plainRect	plainRect : Transform over Shear matches Transform over native	matches the native oracle	-15.425625842,582.000000000,415.425625842,498.000000000 vs -15.425625842,582.000000000,415.425625842,498.000000000	PASS
appearance	plainRect	plainRect : Shear over Transform matches native over expanded	matches the native oracle	15.751288694,582.000000000,384.248711306,498.000000000 vs 15.751288694,582.000000000,384.248711306,498.000000000	PASS
appearance	plainRect	plainRect : the two stack orders differ	matches the native oracle	both -15.425625842,582.000000000,415.425625842,498.000000000	PASS
appearance	plainRect	plainRect : two Shear effects match two native shears	matches the native oracle	65.358983849,628.618831453,334.641016151,451.381168547 vs 65.358983849,628.618831453,334.641016151,451.381168547	PASS
appearance	selfIntersecting	selfIntersecting : Transform over Shear matches Transform over native	matches the native oracle	64.332650721,598.389800070,378.877465706,484.421729424 vs 64.332650721,598.389800070,378.877465706,484.421729424	PASS
appearance	selfIntersecting	selfIntersecting : Shear over Transform matches native over expanded	matches the native oracle	75.281284651,598.389800070,349.185561344,484.421729424 vs 75.281284651,598.389800070,349.185561344,484.421729424	PASS
appearance	selfIntersecting	selfIntersecting : the two stack orders differ	matches the native oracle	both 64.332650721,598.389800070,378.877465706,484.421729424	PASS
appearance	selfIntersecting	selfIntersecting : two Shear effects match two native shears	matches the native oracle	123.309803531,643.704830858,319.900312897,449.668752426 vs 123.309803531,643.704830858,319.900312897,449.668752426	PASS
appearance	bezier	bezier : Transform over Shear matches Transform over native	matches the native oracle	-19.183315729,603.255518297,459.183315729,496.744481703 vs -19.183315729,603.255518297,459.183315729,496.744481703	PASS
appearance	bezier	bezier : Shear over Transform matches native over expanded	matches the native oracle	6.503520270,602.778572493,433.496479730,497.221427507 vs 6.503520270,602.778572493,433.496479730,497.221427507	PASS
appearance	bezier	bezier : the two stack orders differ	matches the native oracle	both -19.183315729,603.255518297,459.183315729,496.744481703	PASS
appearance	bezier	bezier : two Shear effects match two native shears	matches the native oracle	68.993979295,633.746759857,371.006020705,466.253240143 vs 68.993979295,633.746759857,371.006020705,466.253240143	PASS
appearance	two instances	two separate entries in the appearance	matches the native oracle	found 2	PASS
appearance	two instances	editing one instance leaves the other alone	matches the native oracle	the second instance changed too	PASS
appearance	two instances	40 reorders leave the result unchanged	matches the native oracle	0 errors, 65.358983849,628.618831453,334.641016151,451.381168547 vs 65.358983849,628.618831453,334.641016151,451.381168547	PASS
appearance	two instances	swapping the two instances changes the result	matches the native oracle	both 53.087025039,621.255656167,346.912974961,458.744343833	PASS
appearance	two instances	deleting the second leaves the first intact	matches the native oracle	65.358983849,600.000000000,334.641016151,480.000000000 vs 65.358983849,600.000000000,334.641016151,480.000000000	PASS
appearance	two instances	deleting the only effect restores the artwork	matches the native oracle	100.000000000,600.000000000,300.000000000,480.000000000 vs 100.000000000,600.000000000,300.000000000,480.000000000	PASS
