probe	group	case	expected	observed	status
build	release build	Release builds with no warnings and no errors	the artifact is fit to ship	0 warnings, 0 errors	PASS
build	release build	Debug builds with no warnings and no errors	the artifact is fit to ship	0 warnings, 0 errors	PASS
build	release build	the Release build produced a plugin	the artifact is fit to ship	build\Release\LiveShear.aip	PASS
build	release build	the binary does not claim Adobe as its publisher	the artifact is fit to ship	CompanyName is VulpesNexus	PASS
build	release build	the binary names its own product	the artifact is fit to ship	ProductName is Shear for Illustrator	PASS
build	release build	the binary carries a version	the artifact is fit to ship	FileVersion is 0.1.0-rc.6	PASS
build	release build	Release links the retail C runtime, not the debug one	the artifact is fit to ship	links MSVCP140.dll, VCRUNTIME140.dll	PASS
build	release build	no path from the build machine is embedded	the artifact is fit to ship	none found	PASS
build	release build	the symbol reference is a bare file name	the artifact is fit to ship	symbol references: LiveShear.pdb	PASS
build	release build	the entry point Illustrator looks for is exported	the artifact is fit to ship	PluginMain is in the export table	PASS
build	release build	the plugin metadata resource is present	the artifact is fit to ship	the PIPL resource is in the binary	PASS
build	release build	the effect name that documents store is unchanged	the artifact is fit to ship	VulpesNexus Shear	PASS
build	release build	the menu entry reads as a plain Adobe command	the artifact is fit to ship	Effect > Shear...	PASS
build	release build	the effect claims no submenu of its own	the artifact is fit to ship	no effect category is compiled in	PASS
build	release build	no debug trace is on by default	the artifact is fit to ship	tracing is behind the LIVESHEAR_LOG environment variable	PASS
build	release build	the source this was built from is identified	the artifact is fit to ship	commit 2fde2f416d12172e4ebbf8c24eefd1c5143f71bb	PASS
build	release build	the working tree was clean when it was built	the artifact is fit to ship	0 uncommitted change(s)	PASS
build	release build	nothing is linked but Windows and the C runtime	the artifact is fit to ship	no SDK, developer, or test-harness DLL is named	PASS
build	release build	the C runtime it needs is one Illustrator already needs	the artifact is fit to ship	Illustrator.exe names the same MSVCP140.dll, VCRUNTIME140.dll, VCRUNTIME140_1.dll, so no redistributable has to be installed for the plugin	PASS
