probe	group	case	expected	observed	status
dialog	dialog	the dialog opened and OK committed the slider value	the dialog behaves like an Adobe dialog	shearAngle in the appearance after OK: 40	PASS
dialog	dialog	the window title reads Shear	the dialog behaves like an Adobe dialog	the title bar holds 'Shear'	PASS
dialog	dialog	the degree sign is a degree sign	the dialog behaves like an Adobe dialog	U+00B0 appears 2 time(s) among the dialog's labels	PASS
dialog	dialog	dragging through several values does not compound	the dialog behaves like an Adobe dialog	width after dragging through 10, 20, 30, 40 is 300.692 pt; a single 40 degree shear gives 300.692 pt; compounding would give far more	PASS
dialog	dialog	cancel restores the artwork and the parameter it started with	the dialog behaves like an Adobe dialog	bounds before 94.751, 600, 305.249, 480; after 94.751, 600, 305.249, 480; shearAngle after 5 (it was 5)	PASS
dialog	dialog	escape restores the artwork and the parameter it started with	the dialog behaves like an Adobe dialog	bounds before 94.751, 600, 305.249, 480; after 94.751, 600, 305.249, 480; shearAngle after 5 (it was 5)	PASS
dialog	dialog	close restores the artwork and the parameter it started with	the dialog behaves like an Adobe dialog	bounds before 94.751, 600, 305.249, 480; after 94.751, 600, 305.249, 480; shearAngle after 5 (it was 5)	PASS
dialog	dialog	Enter commits, like the default button	the dialog behaves like an Adobe dialog	shearAngle after Enter: 33	PASS
dialog	dialog	a value typed with a decimal comma is committed	the dialog behaves like an Adobe dialog	shearAngle after typing 22,5 and pressing OK: 22.5	PASS
dialog	dialog	a value typed with trailing text reads as a number, at the dialog's resolution	the dialog behaves like an Adobe dialog	typing '18.25 deg' committed 18.3 degrees: the trailing text is ignored and the value is rounded once, to the tenth of a degree the sliders and fields work in	PASS
dialog	dialog	a value typed past the limit is clamped to 89	the dialog behaves like an Adobe dialog	shearAngle after typing 95: 89	PASS
dialog	dialog	three up arrows raise the angle by three degrees	the dialog behaves like an Adobe dialog	shearAngle after three up arrows from 10: 13	PASS
