effect	params	dx	dy	applied	before	after
VulpesNexus Shear	shearAngle=r:30	0	0	1	100,300 310,350 270,470 170,520 130,410	36.49147,300 275.358984,350 304.641016,470 233.50853,520 130,410
VulpesNexus Shear	shearAngle=r:-30	0	0	1	100,300 310,350 270,470 170,520 130,410	163.50853,300 344.641016,350 235.358984,470 106.49147,520 130,410
VulpesNexus Shear	shearAngle=r:45	0	0	1	100,300 310,350 270,470 170,520 130,410	-10,300 250,350 330,470 280,520 130,410
VulpesNexus Shear	shearAngle=r:30;axisAngle=r:90	0	0	1	100,300 310,350 270,470 170,520 130,410	100,360.621778 310,289.378222 270,432.472233 170,540.207259 130,453.30127
VulpesNexus Shear	shearAngle=r:30;axisAngle=r:45	0	0	1	100,300 310,350 270,470 170,520 130,410	98.556624,298.556624 262.368603,302.368603 268.556624,468.556624 211.857895,561.857895 151.650635,431.650635
VulpesNexus Shear	shearAngle=r:30;axisAngle=r:-45	0	0	1	100,300 310,350 270,470 170,520 130,410	37.934846,362.065154 322.990381,337.009619 306.084392,433.915608 191.650635,498.349365 108.349365,431.650635
VulpesNexus Shear	shearAngle=r:30;axisAngle=r:30	0	0	1	100,300 310,350 270,470 170,520 130,410	78.618603,287.655445 257.769238,319.844555 279.730762,475.618058 226.381397,552.551815 148.75,420.825318
Adobe Transform		0	0	1	100,300 310,350 270,470 170,520 130,410	100,300 310,350 270,470 170,520 130,410
Adobe Transform	reflect=b:false	0	0	1	100,300 310,350 270,470 170,520 130,410	100,300 310,350 270,470 170,520 130,410
Adobe Transform	reflect=b:false;moveH_Pts=r:40	0	0	1	100,300 310,350 270,470 170,520 130,410	140,300 350,350 310,470 210,520 170,410
Adobe Transform	reflect=b:false;moveV_Pts=r:25	0	0	1	100,300 310,350 270,470 170,520 130,410	100,325 310,375 270,495 170,545 130,435
Adobe Transform	reflect=b:false;rotate_Degrees=r:30	0	0	1	100,300 310,350 270,470 170,520 130,410	100,300 310,350 270,470 170,520 130,410
Adobe Transform	reflect=b:false;rotate_Radians=r:0.5235987755982988	0	0	1	100,300 310,350 270,470 170,520 130,410	169.067333,262.237206 325.932667,410.538476 231.291651,494.461524 119.689111,487.762794 140.048095,372.5
Adobe Transform	reflect=b:false;scaleH_Percent=r:150	0	0	1	100,300 310,350 270,470 170,520 130,410	100,300 310,350 270,470 170,520 130,410
Adobe Transform	reflect=b:false;scaleH_Factor=r:1.5	0	0	1	100,300 310,350 270,470 170,520 130,410	47.5,300 362.5,350 302.5,470 152.5,520 92.5,410
Adobe Transform	reflect=b:false;scaleV_Factor=r:0.5	0	0	1	100,300 310,350 270,470 170,520 130,410	100,355 310,380 270,440 170,465 130,410
Adobe Transform	reflect=b:false;scaleH_Factor=r:1.5;scaleV_Factor=r:0.5	0	0	1	100,300 310,350 270,470 170,520 130,410	47.5,355 362.5,380 302.5,440 152.5,465 92.5,410
Adobe Transform	reflect=b:true;reflectX=b:true	0	0	1	100,300 310,350 270,470 170,520 130,410	310,300 100,350 140,470 240,520 280,410
Adobe Transform	reflect=b:true;reflectY=b:true	0	0	1	100,300 310,350 270,470 170,520 130,410	310,520 100,470 140,350 240,300 280,410
Adobe Transform	reflect=b:false;scaleH_Factor=r:1.5;rotate_Radians=r:0.5235987755982988	0	0	1	100,300 310,350 270,470 170,520 130,410	123.600999,235.987206 371.399001,436.788476 259.437477,510.711524 104.533666,479.012794 107.572142,353.75
Adobe Transform	reflect=b:false;scaleH_Factor=r:1.5;scaleV_Factor=r:0.5;rotate_Radians=r:0.5235987755982988;moveH_Pts=r:40;moveV_Pts=r:25	0	0	1	100,300 310,350 270,470 170,520 130,410	136.100999,308.618603 396.399001,487.769238 314.437477,509.730762 172.033666,456.381397 147.572142,378.75
Adobe Transform	reflect=b:false;scaleH_Factor=r:1.5;pinPoint=i:0	0	0	1	100,300 310,350 270,470 170,520 130,410	100,300 415,350 355,470 205,520 145,410
Adobe Transform	reflect=b:false;scaleH_Factor=r:1.5;pinPoint=i:8	0	0	1	100,300 310,350 270,470 170,520 130,410	-5,300 310,350 250,470 100,520 40,410
