shear	axis	dx	dy	result	before	after
30	0	0	0	0	100,380 100,500 300,500 300,380	65.358984,380 134.641016,500 334.641016,500 265.358984,380
-30	0	0	0	0	100,380 100,500 300,500 300,380	134.641016,380 65.358984,500 265.358984,500 334.641016,380
45	0	0	0	0	100,380 100,500 300,500 300,380	40,380 160,500 360,500 240,380
10	0	0	0	0	100,380 100,500 300,500 300,380	89.420381,380 110.579619,500 310.579619,500 289.420381,380
30	90	0	0	0	100,380 100,500 300,500 300,380	100,437.735027 100,557.735027 300,442.264973 300,322.264973
30	45	0	0	0	100,380 100,500 300,500 300,380	111.547005,391.547005 146.188022,546.188022 288.452995,488.452995 253.811978,333.811978
30	-45	0	0	0	100,380 100,500 300,500 300,380	53.811978,426.188022 88.452995,511.547005 346.188022,453.811978 311.547005,368.452995
30	30	0	0	0	100,380 100,500 300,500 300,380	99.019238,379.433757 150.980762,529.433757 300.980762,500.566243 249.019238,350.566243
30	180	0	0	0	100,380 100,500 300,500 300,380	65.358984,380 134.641016,500 334.641016,500 265.358984,380
30	270	0	0	0	100,380 100,500 300,500 300,380	100,437.735027 100,557.735027 300,442.264973 300,322.264973
30	0	50	0	0	100,380 100,500 300,500 300,380	65.358984,380 134.641016,500 334.641016,500 265.358984,380
30	0	0	50	0	100,380 100,500 300,500 300,380	94.226497,380 163.50853,500 363.50853,500 294.226497,380
30	0	0	-50	0	100,380 100,500 300,500 300,380	36.49147,380 105.773503,500 305.773503,500 236.49147,380
30	0	-40	25	0	100,380 100,500 300,500 300,380	79.792741,380 149.074773,500 349.074773,500 279.792741,380
30	90	50	0	0	100,380 100,500 300,500 300,380	100,466.60254 100,586.60254 300,471.132487 300,351.132487
30	90	-50	0	0	100,380 100,500 300,500 300,380	100,408.867513 100,528.867513 300,413.39746 300,293.39746
30	90	0	50	0	100,380 100,500 300,500 300,380	100,437.735027 100,557.735027 300,442.264973 300,322.264973
30	45	50	50	0	100,380 100,500 300,500 300,380	140.414519,420.414519 175.055535,575.055535 317.320508,517.320508 282.679492,362.679492
30	45	-50	-50	0	100,380 100,500 300,500 300,380	82.679492,362.679492 117.320508,517.320508 259.585481,459.585481 224.944465,304.944465
60	0	0	0	0	100,380 100,500 300,500 300,380	-3.923048,380 203.923048,500 403.923048,500 196.076952,380
75	0	0	0	0	100,380 100,500 300,500 300,380	-123.923048,380 323.923048,500 523.923048,500 76.076952,380
85	0	0	0	0	100,380 100,500 300,500 300,380	-585.803138,380 785.803138,500 985.803138,500 -385.803138,380
89	0	0	0	0	100,380 100,500 300,500 300,380	-3337.397698,380 3537.397698,500 3737.397698,500 -3137.397698,380
