Registered live effects: 94
idx	name	title	version	inputPrefs	styleFlags
0	PSAdapter_plugin_SmrB	Smart Blur	1.0	0x0	0x2 PostEffect
1	PSAdapter_plugin_RdlB	Radial Blur	1.0	0x0	0x2 PostEffect
2	PSAdapter_plugin_Pntl	Pointillize	1.0	0x0	0x2 PostEffect
3	PSAdapter_plugin_Mztn	Mezzotint	1.0	0x0	0x2 PostEffect
4	PSAdapter_plugin_Dntr	De-Interlace	1.0	0x0	0x2 PostEffect
5	PSAdapter_plugin_Crst	Crystallize	1.0	0x0	0x2 PostEffect
6	PSAdapter_plugin_ClrH	Color Halftone	1.0	0x0	0x2 PostEffect
7	VulpesNexus Shear	Shear	1.0	0xfdff	0x2 PostEffect
8	org.strokemaster.proposed.line-replacement.v1	StrokeMaster PROPOSED line replacement	1.0	0x3	0x3 StrokeFilter
9	Adobe Trim Marks	Crop Marks	1.0	0x2ffff	0x2 PostEffect
10	Adobe Pathfinder	Pathfinder	1.0	0x20007	0x10001 PreEffect|SpecialGroupPre
11	Adobe Dither	Dither	1.0	0x7	0xa40002 PostEffect|AutoRasterize|IsCompatible|ParallelExecution
12	Adobe Geometry3D	3D and Materials	1.0	0x7	0x260002 PostEffect|ScalableParams|AutoRasterize|IsCompatible
13	Adobe 3D Effect	3D Effect	1.0	0x2ffff	0x170002 PostEffect|SpecialGroupPre|ScalableParams|AutoRasterize|AdjustColors
14	Adobe Scatter Brush Tool	Scatter Brush Tool	1.0	0x20006	0x100003 StrokeFilter|AdjustColors
15	Adobe dBrush Brush Tool	dBrush	1.0	0x20006	0x3 StrokeFilter
16	Adobe Calligraphic Brush Tool	Calligraphic Brush	1.0	0x20006	0x800003 StrokeFilter|ParallelExecution
17	Adobe ArtOnPath Brush Tool	Art Brush	1.0	0x20006	0xb00003 StrokeFilter|AdjustColors|IsCompatible|ParallelExecution
18	Adobe PatternOnPath Brush Tool	Pattern Brush	1.0	0x20006	0x300003 StrokeFilter|AdjustColors|IsCompatible
19	Adobe Art Converters	Adobe Art Converters	1.0	0x800	0x1 PreEffect
20	Adobe Outline Type	Outline Object	1.0	0xffff	0x1 PreEffect
21	PSAdapter_plugin_USMk	Unsharp Mask	1.0	0x0	0x2 PostEffect
22	PSAdapter_plugin_NTSC	NTSC Colors	1.0	0x0	0x2 PostEffect
23	PSAdapter_plugin_WtrP	Water Paper	1.0	0x0	0x2 PostEffect
24	PSAdapter_plugin_Wtrc	Watercolor	1.0	0x0	0x2 PostEffect
25	PSAdapter_plugin_Undr	Underpainting	1.0	0x0	0x2 PostEffect
26	PSAdapter_plugin_TrnE	Torn Edges	1.0	0x0	0x2 PostEffect
27	PSAdapter_plugin_Txtz	Texturizer	1.0	0x0	0x2 PostEffect
28	PSAdapter_plugin_Smie	Sumi-e	1.0	0x0	0x2 PostEffect
29	PSAdapter_plugin_Stmp	Stamp	1.0	0x0	0x2 PostEffect
30	PSAdapter_plugin_StnG	Stained Glass	1.0	0x0	0x2 PostEffect
31	PSAdapter_plugin_SprS	Sprayed Strokes	1.0	0x0	0x2 PostEffect
32	PSAdapter_plugin_Spng	Sponge	1.0	0x0	0x2 PostEffect
33	PSAdapter_plugin_Spt 	Spatter	1.0	0x0	0x2 PostEffect
34	PSAdapter_plugin_SmdS	Smudge Stick	1.0	0x0	0x2 PostEffect
35	PSAdapter_plugin_RghP	Rough Pastels	1.0	0x0	0x2 PostEffect
36	PSAdapter_plugin_Rtcl	Reticulation	1.0	0x0	0x2 PostEffect
37	PSAdapter_plugin_PstE	Poster Edges	1.0	0x0	0x2 PostEffect
38	PSAdapter_plugin_PlsW	Plastic Wrap	1.0	0x0	0x2 PostEffect
