fixture	shear	axis	geometric	liveVisible	nativeVisible	anchorsBefore	anchorsAfter	applied	oracle
plainRect	30	0	100.000000000,600.000000000,300.000000000,480.000000000	65.358983849,600.000000000,334.641016151,480.000000000	65.358983849,600.000000000,334.641016151,480.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
strokedRect	30	0	100.000000000,600.000000000,300.000000000,480.000000000	30.717967697,620.000000000,369.282032303,460.000000000	30.717967697,620.000000000,369.282032303,460.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
spike	30	0	100.000000000,604.000000000,400.000000000,590.000000000	78.165254766,622.221018080,1025.298060368,579.181111885	78.165254766,622.221018080,1025.298060368,579.181111885	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
roundJoin	30	0	100.000000000,604.000000000,400.000000000,590.000000000	85.958548116,614.000000000,414.041451884,580.000000000	85.958548116,614.000000000,414.041451884,580.000000000	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
bevelJoin	30	0	100.000000000,604.000000000,400.000000000,590.000000000	87.298294078,613.999124755,404.495406555,580.010309056	87.298294078,613.999124755,404.495406555,580.010309056	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	100.000000000,600.000000000 400.000000000,604.000000000 100.000000000,590.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
dashedStroke	30	0	100.000000000,600.000000000,300.000000000,480.000000000	60.162831426,606.000000000,339.837168574,474.000000000	60.162831426,606.000000000,339.837168574,474.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
bezier	30	0	100.000000000,620.000000000,340.000000000,480.000000000	69.252920896,622.338211494,370.747079104,477.661788506	69.252920896,622.338211494,370.747079104,477.661788506	100.000000000,500.000000000 180.000000000,620.000000000 260.000000000,480.000000000 340.000000000,600.000000000	100.000000000,500.000000000 180.000000000,620.000000000 260.000000000,480.000000000 340.000000000,600.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
openPath	30	0	100.000000000,620.000000000,340.000000000,500.000000000	59.358983849,624.894893245,322.905989232,494.000000000	59.358983849,624.894893245,322.905989232,494.000000000	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
compound	30	0	100.000000000,620.000000000,340.000000000,460.000000000	48.615826042,626.000000000,391.384173958,454.000000000	48.615826042,626.000000000,391.384173958,454.000000000			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
selfIntersecting	30	0	134.404913533,622.811529494,305.595086467,460.000000000	123.309803531,622.811529494,319.900312897,460.000000000	123.309803531,622.811529494,319.900312897,460.000000000	220.000000000,460.000000000 272.900672706,622.811529494 134.404913533,522.188470506 305.595086467,522.188470506 167.099327294,622.811529494	220.000000000,460.000000000 272.900672706,622.811529494 134.404913533,522.188470506 305.595086467,522.188470506 167.099327294,622.811529494	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
